Date,roofs_top_kW,walls_east_kW,walls_north_kW,walls_south_kW,walls_west_kW,windows_east_kW,windows_north_kW,windows_south_kW,windows_west_kW,roofs_top_m2,walls_east_m2,walls_north_m2,walls_south_m2,walls_west_m2,windows_east_m2,windows_north_m2,windows_south_m2,windows_west_m2
2020-01-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 09:00:00,4.59,2.13,0.45,0.03,1.94,0.56,0.12,0.01,0.52,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 10:00:00,48.63,47.89,2.71,5.84,10.65,13.16,0.72,1.9,2.83,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 11:00:00,93.22,51.31,4.54,2.53,26.9,13.71,1.2,4.14,7.46,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 12:00:00,99.09,33.16,5.51,8.46,53.22,8.9,1.46,0.5,14.91,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 13:00:00,105.09,33.26,6.04,11.85,81.59,8.87,1.61,0.61,21.79,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 14:00:00,74.31,22.76,4.4,5.77,76.15,6.04,1.17,0.26,18.69,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 15:00:00,39.73,15.11,3.41,0.44,29.57,4.01,0.91,0.12,6.79,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 17:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 18:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
2020-01-01 19:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784.29,819.41,140.19,142.4,763.18,217.82,37.26,37.85,202.87
