fid,blknr,verbrauch_mwh,ausgeschlossen,verbrauch_mwh2020,ausgeschlossen2020,verbrauch_mwh2021,ausgeschlossen2021
"1","019017",126.159,,120.116,,123.774,
"2","019033",1275.717,,1091.895,,1264.105,
"3","019609",21127.807,,19926.378,,20461.183,
"4","019692",1360.709,,1037.488,,1293.629,
"5","019708",136.236,,77.141,,87.391,
"6","019742",5499.234,,5429.684,,5468.668,
"7","019759",,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt
"8","019760",,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt
"9","019901",,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar
"10","020020",,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt
"11","020021",,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt
"12","020022",110.793,,115.702,,117.57,
"13","020023",173.854,,182.027,,180.491,
"14","020027",809.294,,843.714,,889.042,
"15","020028",23.155,,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt,,Der Verbrauch wird aus Datenschutzgründen nicht angezeigt
"16","020029",259.713,,271.946,,278.195,
"17","020030",249.643,,261.133,,267.326,
"18","020035",718.907,,600.774,,651.25,
"19","020036",496.584,,528.244,,527.903,
"20","020037",769.582,,800.408,,830.192,
"21","020038",985.165,,1049.14,,1037.121,
"22","020039",794.209,,856.029,,870.674,
"23","020040",612.016,,641.754,,659.479,
"24","020041",802.906,,1071.922,,1061.345,
"25","020042",1225.315,,1267.158,,1297.228,
"26","020043",799.847,,847.864,,839.088,
"27","020044",943.118,,1049.405,,1024.746,
"28","020045",642.91,,664.307,,653.944,
"29","020050",783.397,,845.068,,778.312,
"30","020051",1284.086,,1370.755,,1327.962,
"31","020052",671.322,,769.994,,742.087,
"32","020053",567.885,,573.613,,580.686,
"33","020054",,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar
"34","020055",898.815,,876.964,,887.347,
"35","020057",263.488,,267.642,,270.802,
"36","020058",297.397,,310.35,,311.175,
"37","020059",236.483,,236.602,,243.521,
"38","020670",771.509,,792.68,,774.847,
"39","020672",1587.177,,1498.6,,1496.648,
"40","020673",512.692,,720.537,,676.185,
"41","020691",774.702,,780.783,,807.293,
"42","020902",,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar,,Keine Angabe zum Verbrauch verfügbar
"43","021060",484.546,,627.881,,523.964,
"44","021061",22965.429,,20972.197,,21042.802,
"45","021062",2207.921,,2166.994,,2219.293,
